Serial #,source,Type,all,annual,country/annual,1 series per country,unique countries,MOU,Country Name,Year,series (at least 3 samples since 1999),AF/AS,Title,frequency,Region,9,samples annual,by,created,Original,official language,links,,,,questionnaires,reports
2428,ihsn,inc,1,,,,,,Mexico,2005,,,Encuesta Nacional de Ingresos y Gastos de los Hogares 2005 ,a,nac,,,"By: Instituto Nacional de Estadística, Geografía e Informática (INEGI), Dirección General de Estadística (DGE)","Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 822 Citations: 19 ","Mexico, 2005",,http://catalog.ihsn.org/index.php/catalog/3962,,,,http://catalog.ihsn.org/index.php/catalog/3962/download/53848,http://catalog.ihsn.org/index.php/catalog/3962/download/53849
2421,ihsn,inc,1,,,,,,Mexico,2006,,,Encuesta Nacional de Ingresos y Gastos de los Hogares 2006 ,a,nac,,,"By: Instituto Nacional de Estadística, Geografía e Informática (INEGI), Dirección General de Estadística (DGE)","Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 574 Citations: 39 ","Mexico, 2006",,http://catalog.ihsn.org/index.php/catalog/3963,,,,http://catalog.ihsn.org/index.php/catalog/3963/download/53859,http://catalog.ihsn.org/index.php/catalog/3963/download/53873
2400,ihsn,inc,1,,,,,,Mexico,2008,,,Encuesta Nacional de Ingresos y Gastos de los Hogares 2008 ,q,nac,,,"By: Instituto Nacional de Estadística y Geografía (INEGI), Dirección General de Estadísticas Sociodemográficas (DGES), Dirección General Adjunta de Encuestas Sociodemográficas y Registros Adm","Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 1447 Citations: 27 ","Mexico, 2008",,http://catalog.ihsn.org/index.php/catalog/3964,,,,http://catalog.ihsn.org/index.php/catalog/3964/download/53880,http://catalog.ihsn.org/index.php/catalog/3964/download/53899
2379,ihsn,inc,1,,,,,,Mexico,2010,,,Encuesta Nacional de Ingresos y Gastos de los Hogares 2010 (Tradicional) ,a,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI),"Created on: Jul 10, 2013 Last modified: Sep 14, 2013 Views: 1445 Citations: 16 ","Mexico, 2010",,http://catalog.ihsn.org/index.php/catalog/3010,,,,http://catalog.ihsn.org/index.php/catalog/3010/download/45189,http://catalog.ihsn.org/index.php/catalog/3010/download/45195
2372,ihsn,inc,1,,,,,,Mexico,2012,,,Encuesta Nacional de Ingresos y Gastos de los Hogares 2012 ,a,nac,,,"By: Instituto Nacional de Estadística y Geografía (INEGI), Dirección General de Estadísticas Sociodemográficas (DGES), Dirección General Adjunta de Encuestas Sociodemográficas y Registros Adm","Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 386 Citations: 5 ","Mexico, 2012",,http://catalog.ihsn.org/index.php/catalog/3971,,,,http://catalog.ihsn.org/index.php/catalog/3971/download/54023,http://catalog.ihsn.org/index.php/catalog/3971/download/54033
17447,ihsn,c,,,,,,,Mexico,1960,,,General Census of Population 1960 - IPUMS Subset ,,,,,By: Dirección General de Estadística - Secretaría de Industria y Comercio,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 3531","Mexico, 1960",,http://catalog.ihsn.org/index.php/catalog/450,,,,"http://catalog.ihsn.org/index.php/catalog/450/download/65556""","http://catalog.ihsn.org/index.php/catalog/450/download/65555"""
17440,ihsn,c,,,,,,,Mexico,1970,,,General Census of Population 1970 - IPUMS Subset ,,,,,By: Dirección General de Estadística - Secretaría de Industria y Comercio,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 156","Mexico, 1970",,http://catalog.ihsn.org/index.php/catalog/452,,,,"http://catalog.ihsn.org/index.php/catalog/452/download/65560""","http://catalog.ihsn.org/index.php/catalog/452/download/65559"""
17426,ihsn,c,,,,,,,Mexico,1990,,,General Census of Population and Housing 1990 - IPUMS Subset ,,,,,By: Instituto Nacional de Estadísticas Geografía e Informática,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 116","Mexico, 1990",,http://catalog.ihsn.org/index.php/catalog/455,,,,"http://catalog.ihsn.org/index.php/catalog/455/download/65570""","http://catalog.ihsn.org/index.php/catalog/455/download/65569"""
17419,ihsn,c,,,,,,,Mexico,1995,,,Count of Population and Housing 1995 - IPUMS Subset ,,,,,By: Instituto Nacional de Estadísticas Geografía e Informática,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 173 Citations: 1 ","Mexico, 1995",,http://catalog.ihsn.org/index.php/catalog/457,,,,"http://catalog.ihsn.org/index.php/catalog/457/download/30904""",null
17391,ihsn,c,,,,,,,Mexico,2000,,,Census of Population and Housing 2000 - IPUMS Subset ,,,,,By: Instituto Nacional de Estadísticas Geografía e Informática,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 199","Mexico, 2000",,http://catalog.ihsn.org/index.php/catalog/459,,,,"http://catalog.ihsn.org/index.php/catalog/459/download/65585""",null
17258,ihsn,c,,,,,,,Mexico,2005,,,Count of Population and Housing 2005 - IPUMS Subset ,,,,,By: Instituto Nacional de Estadísticas Geografía e Informática,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 105","Mexico, 2005",,http://catalog.ihsn.org/index.php/catalog/460,,,,"http://catalog.ihsn.org/index.php/catalog/460/download/65590""",null
17075,ihsn,c,,,,,,,Mexico,2010,,,Censo de Población y Vivienda 2010 - IPUMS Subset ,,,,,"By: Instituto Nacional de Estadística, Geografía e Informática (INEGI), Minnesota Population Center - University of Minnesota","Created on: Sep 14, 2013 Last modified: Sep 14, 2013 Views: 134","Mexico, 2010",,http://catalog.ihsn.org/index.php/catalog/3582,,,,http://catalog.ihsn.org/index.php/catalog/3582/download/65653,null
